Fecha de la Medida,Hora de la Medida,V12_Avg [V],V23_Avg [V],V31_Avg [V],I1_Avg [A],I2_Avg [A],I3_Avg [A],Pt+_Avg [W],Qti+_Avg [VAR],St+_Avg [VA],freq_Avg [Hz],P12+_Avg [W],S12+_Avg [VA],P12/S12 (FP12),P32+_Avg [W],S32+_Avg [VA],P32/S32 (FP32),thdV12_Avg [%],thdV23_Avg [%],thdV31_Avg [%],thdI1_Avg [%],thdI2_Avg [%],thdI3_Avg [%],Eat+_Avg [Wh],COMSUMO CALCULADO,,PD,,DBV1,DBV2,DBV3,DBI1,DBI2,DBI3,FPT,,PST1,PST2,PST3
14/01/2013,3:10:00 p. m.,434.4,435.3,432.6,5.736,6.067,4.565,3822,605.3,3870,60.02,2025,2492,0.812600321,1797,1987,0.90437846,1.959,1.961,1.912,8.707,13.79,11.12,19956.33,63.70,,6130.00,,0.0691085,0.276434001,0.345542502,5.131964809,11.19868035,16.33064516,0.987596899,,0.4,0,0.5
14/01/2013,3:15:00 p. m.,433.9,434.7,432.1,5.644,5.966,4.445,3736,612,3786,60.04,1986,2449,0.810943242,1749,1932,0.905279503,1.96,1.946,1.929,8.799,14.07,11.45,20267.67,62.27,,6214.00,,0.076881679,0.261397709,0.338279388,5.46247275,11.47928994,16.94176269,0.98679345,,0.6,0.5,0.8
14/01/2013,3:20:00 p. m.,429.3,430.1,427.9,5.369,5.721,4.26,3528,563.1,3573,59.99,1871,2305,0.811713666,1657,1833,0.903982542,1.902,1.906,1.917,8.897,14.36,11.81,20561.67,58.80,,6427.00,,0.046609182,0.23304591,0.279655092,4.931596091,11.81107492,16.74267101,0.987405542,,5.1,5.2,4.7
14/01/2013,3:25:00 p. m.,428.7,429.2,427.1,4.944,5.328,3.809,3198,558.9,3247,60,1714,2119,0.808872109,1484,1635,0.90764526,1.863,1.891,1.891,9.438,15.26,12.99,20828.17,53.30,,6753.00,,0.085603113,0.20233463,0.287937743,5.333428024,13.51466515,18.84809318,0.984909147,,5.2,5.5,5
14/01/2013,3:30:00 p. m.,428.5,429.2,427,4.961,5.349,3.834,3216,558.4,3264,60,1721,2126,0.809501411,1494,1645,0.908206687,1.866,1.883,1.869,9.386,15.12,12.79,21096.17,53.60,,6736.00,,0.062271347,0.225733634,0.288004982,5.224830317,13.45446833,18.67929864,0.985294118,,0.8,0.9,0.9
14/01/2013,3:35:00 p. m.,428.4,429,426.9,4.762,5.182,3.649,3071,545.4,3119,59.98,1649,2040,0.808333333,1422,1565,0.908626198,1.891,1.912,1.896,9.888,15.69,13.53,21352.08,51.18,,6881.00,,0.070077085,0.210231254,0.280308339,5.098212315,14.36768925,19.46590157,0.984610452,,0.3,0.2,0.2
14/01/2013,3:40:00 p. m.,428.1,428.6,426.5,4.362,4.811,3.225,2751,534.8,2803,60.01,1497,1867,0.801821103,1254,1382,0.907380608,1.878,1.894,1.873,10.57,16.73,15.03,21581.33,45.85,,7197.00,,0.085723192,0.202618454,0.288341646,5.549282142,16.41393773,21.96321987,0.981448448,,0.4,0.6,0.5
14/01/2013,3:45:00 p. m.,427.7,428.5,426.2,3.906,4.411,2.766,2401,518.3,2456,60.01,1325,1670,0.793413174,1075,1185,0.907172996,1.857,1.865,1.825,11.41,18.02,16.95,21781.42,40.02,,7544.00,,0.054585153,0.241734248,0.296319401,5.729495624,19.39907967,25.1285753,0.977605863,,0.7,0.5,0.7
14/01/2013,3:50:00 p. m.,427.4,428.1,425.6,3.65,4.185,2.48,2196,515.6,2256,60.01,1231,1560,0.789102564,965.2,1061,0.909707823,1.793,1.839,1.796,11.66,18.68,18.61,21964.42,36.60,,7744.00,,0.085863711,0.249785341,0.335649052,6.156083374,21.71594765,27.87203102,0.973404255,,0.7,0.5,0.9
14/01/2013,3:55:00 p. m.,426.6,427.2,425,3.302,3.891,2.126,1922,500,1986,59.97,1098,1409,0.779276082,823.7,908.2,0.90695882,1.773,1.8,1.769,12.5,19.98,21.32,22124.58,32.03,,8014.00,,0.078198311,0.218955271,0.297153581,6.298959116,25.26022105,31.55918017,0.967774421,,1.1,1.3,1.2
14/01/2013,4:00:00 p. m.,426.7,427.2,425,3.158,3.764,1.968,1805,494,1871,59.99,1044,1347,0.775055679,761,841,0.904875149,1.794,1.823,1.796,13.05,20.71,23.64,22275,30.08,,8129.00,,0.093830636,0.21111893,0.304949566,6.569178853,27.01912261,33.58830146,0.964724746,,0.7,0.9,0.6
